"car_name","make","year","car_type","stock_class","stock_pi","drivetrain_stock","recommended_preset","primary_roles","upgrade_order","required_adjustable_parts","optional_parts","avoid","tune_sections","data_needed_for_exact_tune","risk_flags","ai_notes","confidence"
"1974 Lancia Stratos HF Stradale","Lancia","1974","Classic Rally","C","483","RWD","rally_b_a","rally_build","rally tire > rally suspension > ride height > weight > diff > moderate power > final drive","rally_suspension;race_diff","rally transmission;mudflaps/livery","slicks;slammed suspension;stiff bump","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Compliance and traction beat road-racing stiffness","derived_from_car_archetype_and_build_preset"
"1986 Lancia Delta S4","Lancia","1986","Retro Rally","B","564","AWD","rally_b_a","touge_or_drift_project;rally_build","rally tire > rally suspension > ride height > weight > diff > moderate power > final drive","rally_suspension;race_diff","rally transmission;mudflaps/livery","slicks;slammed suspension;stiff bump","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Compliance and traction beat road-racing stiffness","derived_from_car_archetype_and_build_preset"
"1992 Lancia Delta HF Integrale EVO","Lancia","1992","Retro Rally","C","489","AWD","rally_b_a","rally_build","rally tire > rally suspension > ride height > weight > diff > moderate power > final drive","rally_suspension;race_diff","rally transmission;mudflaps/livery","slicks;slammed suspension;stiff bump","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Compliance and traction beat road-racing stiffness","derived_from_car_archetype_and_build_preset"
"2015 Land Rover Range Rover Sport SVR","Land Rover","2015","Sports Utility Heroes","A","604","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2020 Land Rover Defender 110 X","Land Rover","2020","Sports Utility Heroes","C","427","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2010 Lexus LFA","Lexus","2010","Modern Supercars","A","699","RWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2010 Lexus LFA Forza Edition","Lexus","2010","Extreme Track Toys","S2","900","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2015 Lexus RC F","Lexus","2015","Modern Super Saloons","A","623","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2021 Lexus LC 500","Lexus","2021","GT Cars","B","592","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1962 Lincoln Continental","Lincoln","1962","Rods and Customs","D","267","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1997 Lotus Elise GT1","Lotus","1997","Retro Supercars","S1","709","RWD","road_high_grip","leaderboard_benchmark","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"1999 Lotus Elise Series 1 Sport 190","Lotus","1999","Retro Sports Cars","B","589","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2018 Lotus Exige Cup 430","Lotus","2018","Track Toys","S1","732","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2018 Lotus Scura Motorsports Exige WTAC","Lotus","2018","Extreme Track Toys","R","998","RWD","road_high_grip","leaderboard_benchmark;track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently;meta_signal_not_fun_default","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2020 Lotus Evija","Lotus","2020","Hypercars","R","937","AWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2020 Lotus Evija Forza Edition","Lotus","2020","Drift Cars","S2","900","AWD","touge_jdm_a","general_event_candidate","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_dlc_or_addon_access","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"2023 Lotus Emira","Lotus","2023","Modern Sports Cars","A","656","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;check_availability_currently","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2024 Lucid Air Sapphire","Lucid","2024","Modern Super Saloons","S2","820","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1997 Maserati Ghibli Cup","Maserati","1997","Retro Sports Cars","B","591","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2004 Maserati MC12","Maserati","2004","Retro Supercars","S1","751","RWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2008 Maserati MC12 Versione Corsa","Maserati","2008","Extreme Track Toys","R","912","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2022 Maserati MC20","Maserati","2022","Modern Supercars","S1","753","RWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"1972 Mazda Cosmo 110S Series II","Mazda","1972","Classic Sports Cars","D","394","RWD","weekly_allround_required","jdm_theme","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;check_availability_currently","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1973 Mazda RX-3","Mazda","1973","Classic Sports Cars","D","328","RWD","weekly_allround_required","jdm_theme","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1973 Mazda RX-3 Forza Edition","Mazda","1973","Classic Sports Cars","B","600","RWD","weekly_allround_required","jdm_theme","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;check_availability_currently","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1974 Mazda #123 Mad Mike 808 Wagon 'FURSTY'","Mazda","1974","Drift Cars","S1","702","","touge_jdm_a","jdm_theme","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;drivetrain_missing_from_tunelab;check_dlc_or_addon_access","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"1985 Mazda RX-7 GSL-SE","Mazda","1985","Retro Sports Cars","D","357","RWD","touge_jdm_a","jdm_theme;touge_or_drift_project","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"1990 Mazda Savanna RX-7","Mazda","1990","Retro Sports Cars","C","451","RWD","touge_jdm_a","jdm_theme;touge_or_drift_project","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"1991 Mazda #55 Mazda 787B","Mazda","1991","Retro Racers","R","988","RWD","road_high_grip","leaderboard_benchmark;jdm_theme;track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"1992 Mazda RX-7 Type R","Mazda","1992","Retro Sports Cars","B","548","RWD","touge_jdm_a","leaderboard_benchmark;jdm_theme;touge_or_drift_project","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"1994 Mazda MX-5 Miata","Mazda","1994","Retro Sports Cars","D","329","RWD","touge_jdm_a","leaderboard_benchmark;jdm_theme;touge_or_drift_project","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"1994 Mazda MX-5 Miata Forza Edition","Mazda","1994","Retro Sports Cars","S2","850","RWD","touge_jdm_a","leaderboard_benchmark;jdm_theme;touge_or_drift_project","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently;meta_signal_not_fun_default","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"2005 Mazda Mazdaspeed MX-5","Mazda","2005","Retro Sports Cars","C","469","RWD","touge_jdm_a","jdm_theme;touge_or_drift_project","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"2008 Mazda Furai","Mazda","2008","Extreme Track Toys","R","926","RWD","road_high_grip","leaderboard_benchmark;jdm_theme;track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently;meta_signal_not_fun_default","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2010 Mazda Mazdaspeed 3","Mazda","2010","Hot Hatch","B","536","FWD","road_low_class_momentum","jdm_theme;low_class_momentum","weight reduction > final drive/transmission if bad > street tire only if needed > brakes if weak > mild power","final_drive_or_transmission;front/rear ARB if available","sport brakes;street tire","race slicks;heavy aero;huge engine swaps","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Keep PI efficient; do not destroy momentum with tire overspend","derived_from_car_archetype_and_build_preset"
"2011 Mazda RX-8 R3","Mazda","2011","Modern Sports Cars","B","508","RWD","touge_jdm_a","jdm_theme;touge_or_drift_project","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"2013 Mazda MX-5","Mazda","2013","Modern Sports Cars","C","432","RWD","touge_jdm_a","jdm_theme;touge_or_drift_project","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"2016 Mazda MX-5","Mazda","2016","Modern Sports Cars","C","499","RWD","touge_jdm_a","jdm_theme;touge_or_drift_project","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"2017 Mazda MX-5 Cup","Mazda","2017","Track Toys","B","586","RWD","touge_jdm_a","jdm_theme;touge_or_drift_project;track_day_or_rivals","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"2022 Mazda MX-5 Miata RF","Mazda","2022","Modern Sports Cars","B","509","RWD","touge_jdm_a","jdm_theme;touge_or_drift_project","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"1993 McLaren F1","McLaren","1993","Retro Supercars","S1","713","RWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"1997 McLaren F1 GT","McLaren","1997","Retro Supercars","S1","769","RWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2011 McLaren 12C Coup̩","McLaren","2011","Modern Supercars","S1","727","RWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2013 McLaren P1","McLaren","2013","Hypercars","S2","848","RWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2014 McLaren 650S Spider","McLaren","2014","Modern Supercars","S1","765","RWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2015 McLaren 570S Coup̩","McLaren","2015","Modern Supercars","S1","721","RWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2018 McLaren 600LT Coup̩","McLaren","2018","Track Toys","S1","780","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
